miRNA,Type,T1,T2,T3,C1,C2,C3
mmu-let-7a,Target,21.9757,22.1752,22.1109,22.596,21.9596,22.4971
mmu-let-7a#,Target,27.7229,27.6204,28.1681,27.4862,27.9015,28.0268
mmu-let-7b,Target,20.8373,21.6668,21.3227,21.973,21.1772,20.9029
mmu-let-7b#,Target,28.8208,35,35,35,35,35
mmu-let-7c,Target,19.5642,20.4218,20.2647,20.4557,19.9664,20.0459
mmu-let-7c-1#,Target,34.1426,33.4703,34.9306,35,35,35
mmu-let-7d,Target,21.7034,22.1162,22.8711,22.4104,22.0093,22.5148
mmu-let-7d#,Target,35,35,35,35,26.0604,26.0314
mmu-let-7e,Target,19.267,19.5114,19.9136,19.9416,19.4722,19.9746
mmu-let-7e#,Target,30.7672,32.9305,30.3707,29.6196,29.9688,30.8244
mmu-let-7f,Target,23.6512,23.6529,24.4557,24.6699,23.9801,24.2725
mmu-let-7f-1#,Target,30.9468,30.9631,30.2094,31.8981,30.1648,29.8027
mmu-let-7g,Target,21.448,21.3931,22.272,22.2222,21.9675,21.9252
mmu-let-7g#,Target,29.368,28.9682,29.8,29.8368,29.9691,30.1289
mmu-let-7i,Target,22.637,22.0434,23.7983,23.2973,23.0587,22.29
mmu-let-7i#,Target,29.8153,30.0305,30.4957,28.8568,29.9679,30.2411
mmu-miR-1,Target,29.1423,28.8718,29.6797,30.7431,30.0054,31.4121
mmu-miR-1-2-AS,Target,35,35,35,35,35,35
mmu-miR-100,Target,19.8325,19.9751,20.5867,20.9617,19.9827,19.7325
mmu-miR-101,Target,26.9748,27.4514,28.43,27.9995,27.5317,27.5208
mmu-miR-101a#,Target,35,35,35,35,35,35
mmu-miR-101b,Target,35,35,35,35,35,35
mmu-miR-103,Target,21.9288,22.1108,22.6871,22.865,22.1124,22.9649
mmu-miR-105,Target,35,35,35,35,35,35
mmu-miR-106a,Target,18.7401,18.5221,19.1817,19.2537,18.9915,18.9602
mmu-miR-106b,Target,21.9652,21.9846,23.2284,23.1298,22.4429,22.6175
mmu-miR-106b#,Target,23.8008,23.9669,23.9969,23.1415,24.9627,24.3519
mmu-miR-107,Target,26.543,26.6588,27.1928,27.5613,26.9682,27.971
mmu-miR-10a,Target,26.4465,26.0893,27.16,28.1578,27.2256,27.8299
mmu-miR-10a#,Target,35,35,34.5926,35,35,35
mmu-miR-10b,Target,31.4938,30.5652,31.4593,33.7746,31.7292,32.0282
mmu-miR-10b#,Target,30.1907,29.9057,34.5016,35,35,29.8925
mmu-miR-1186,Target,35,35,35,35,35,35
mmu-miR-1188,Target,35,33.0581,35,35,35,35
mmu-miR-1191,Target,35,35,35,35,35,35
mmu-miR-1192,Target,35,35,35,35,35,35
mmu-miR-1193,Target,35,35,35,35,35,35
mmu-miR-1194,Target,35,35,35,35,35,35
mmu-miR-1195,Target,35,35,35,35,35,35
mmu-miR-1197,Target,35,35,35,35,35,35
mmu-miR-1198,Target,35,35,35,35,35,35
mmu-miR-1199,Target,35,35,35,35,35,35
mmu-miR-122,Target,30.401,30.4776,30.5533,30.4986,31.7642,31.9802
mmu-miR-1224,Target,35,35,35,35,35,35
mmu-miR-124#,Target,25.5004,26.6939,25.9666,25.8559,25.9915,25.709
mmu-miR-124a,Target,21.6448,22.0394,22.7375,22.9803,22.3554,22.9792
mmu-miR-125a-3p,Target,27.7104,27.55,28.2902,27.4308,27.9666,28.2459
mmu-miR-125a-5p,Target,18.5525,18.2871,18.9615,18.8261,18.8902,19.3313
mmu-miR-125b,Target,17.3828,17.605,18.0764,18.9915,17.9581,17.9861
mmu-miR-125b#,Target,35,35,35,35,35,35
mmu-miR-125b-1#,Target,35,35,35,35,35,35
mmu-miR-126,Target,17.3351,16.7528,17.9723,17.968,17.4779,17.6559
mmu-miR-126#,Target,35,35,35,35,35,35
mmu-miR-127,Target,19.53,19.9332,20.1154,20.7707,19.959,20.3682
mmu-miR-127-5p,Target,35,35,35,35,35,35
mmu-miR-1274a,Target,34.4734,34.5997,35,35,35,35
mmu-miR-128a,Target,20.9492,21.9599,22.1719,22.5,21.9123,20.9854
mmu-miR-129,Target,25.8527,25.9434,26.5259,26.8792,25.9688,26.6958
mmu-miR-129-3p,Target,21.8124,21.6701,22.4111,22.4257,21.954,23.0481
mmu-miR-1306,Target,35,35,35,35,35,35
mmu-miR-130a,Target,22.694,22.653,23.6716,24.2288,22.7258,23.9849
mmu-miR-130b,Target,24.6256,24.3119,25.5412,25.5868,24.962,25.9169
mmu-miR-130b#,Target,24.6514,23.8498,25.4348,24.992,25.0518,25.9536
mmu-miR-132,Target,19.6804,19.7654,20.0002,19.8624,19.9764,20.1983
mmu-miR-133a,Target,24.2164,23.0075,23.874,24.5679,24.6549,25.4115
mmu-miR-133a#,Target,35,35,35,35,35,35
mmu-miR-133b,Target,27.6514,27.7914,27.954,29.7316,28.5906,28.8003
mmu-miR-134,Target,20.9669,20.2999,21.0015,20.5367,21.0004,21.429
mmu-miR-135a,Target,19.2873,19.0513,19.7588,19.4847,18.9728,20.9803
mmu-miR-135b,Target,18.7025,18.3588,19.3732,19.2228,18.9582,19.7054
mmu-miR-136,Target,35,35,35,35,35,35
mmu-miR-136#,Target,27.769,28.2241,28.0433,27.5391,27.9779,28.5273
mmu-miR-137,Target,20.5535,20.5757,22.1684,21.6084,20.9502,21.7593
mmu-miR-138,Target,17.4621,17.5756,18.1148,18.2356,17.953,18.4805
mmu-miR-138#,Target,25.8481,27.3006,26.7988,26.0821,27.9276,26.2682
mmu-miR-139-3p,Target,35,35,35,35,35,35
mmu-miR-139-5p,Target,19.3545,19.0321,19.8839,19.2827,19.6991,19.9744
mmu-miR-140,Target,20.8747,20.3319,21.2478,20.966,20.8498,21.1926
mmu-miR-140-3p,Target,9.2305,6.883,35,17.8669,35,11.1558
mmu-miR-141,Target,31.5289,31.5824,32.9455,32.8389,30.7903,32.7777
mmu-miR-141#,Target,29.5854,28.825,29.9166,35,35,30.1016
mmu-miR-142-3p,Target,25.6163,25.4979,27.4678,26.9679,25.9357,26.3057
mmu-miR-142-5p,Target,31.1296,31.0068,32.5384,32.7948,31.9621,32.8579
mmu-miR-143,Target,29.4645,29.2207,29.9718,30.0747,29.5565,29.8385
mmu-miR-144,Target,29.9869,29.032,32.3829,30.2412,30.0482,31.9782
mmu-miR-145,Target,19.7773,19.2713,20.3735,20.8392,19.9673,20.1597
mmu-miR-145#,Target,35,35,35,35,35,35
mmu-miR-146a,Target,20.7528,19.841,20.9905,21.0019,20.9591,20.8584
mmu-miR-146b,Target,21.3492,20.9218,21.8995,21.0816,21.8489,21.9335
mmu-miR-146b#,Target,35,35,35,35,35,35
mmu-miR-147b,Target,35,35,35,35,34.0141,35
mmu-miR-148a,Target,24.8347,24.3678,25.982,25.8335,24.6283,25.8213
mmu-miR-148a#,Target,35,35,35,35,35,35
mmu-miR-148b,Target,25.757,25.8775,26.4035,26.5466,25.9721,26.8673
mmu-miR-149,Target,35,35,35,33.0544,32.8877,35
mmu-miR-150,Target,19.4784,18.959,19.5506,19.7149,19.4499,19.7342
mmu-miR-150#,Target,35,35,35,35,35,35
mmu-miR-151,Target,35,35,35,35,35,35
mmu-miR-151-5P,Target,23.27,24.9498,23.4319,22.9071,23.3108,23.4692
mmu-miR-152,Target,23.8967,23.0866,25.0532,25.618,23.9412,24.1799
mmu-miR-153,Target,27.8503,27.5347,29.2884,28.4478,27.9215,29.9629
mmu-miR-154,Target,29.3346,29.0144,30.2376,30.5896,29.9676,31.9
mmu-miR-154#,Target,26.9657,25.5131,26.9581,26.2656,26.9615,28.1993
mmu-miR-155,Target,33.9469,32.9702,35,35,33.1614,34.9333
mmu-miR-15a,Target,24.6116,24.6646,24.8009,25.4197,25.0665,25.0155
mmu-miR-15a#,Target,35,35,35,35,35,35
mmu-miR-15b,Target,22.1784,22.517,23.095,23.3457,22.9663,23.0329
mmu-miR-15b#,Target,23.7365,23.7952,24.7099,23.3293,24.9621,24.3484
mmu-miR-16,Target,18.452,18.2854,27.3229,19.2148,19.0022,18.0312
mmu-miR-16#,Target,35,35,35,35,35,35
mmu-miR-17,Target,17.4668,17.269,18.0065,18.1373,17.9441,17.5542
mmu-miR-17#,Target,31.161,30.7598,30.9969,30.3052,31.7648,31.8636
mmu-miR-181a,Target,21.001,21.075,21.8607,22.4248,21.7769,21.233
mmu-miR-181A-2#,Target,35,35,35,35,35,35
mmu-miR-181c,Target,24.6817,24.5488,25.5441,25.8696,24.9827,25.1593
mmu-miR-182,Target,35,35,35,19.4412,35,35
mmu-miR-183,Target,30.8804,29.9771,30.6887,32.6201,30.9556,30.8639
mmu-miR-183#,Target,28.6251,28.9828,30.4077,32.8416,28.9831,30.9889
mmu-miR-1839-3p,Target,35,35,35,35,35,35
mmu-miR-1839-5p,Target,35,35,35,35,35,35
mmu-miR-184,Target,29.4433,28.4543,28.9988,28.2382,28.6013,29.6672
mmu-miR-185,Target,26.6754,26.7531,27.5774,27.4748,27.0003,27.4645
mmu-miR-186,Target,20.4615,19.7819,20.6272,19.9376,20.5386,20.6686
mmu-miR-186#,Target,35,35,35,35,35,35
mmu-miR-187,Target,23.8712,22.8832,23.9715,23.8701,23.8455,24.3608
mmu-miR-188-3p,Target,35,35,35,35,35,35
mmu-miR-188-5p,Target,34.1997,34.8876,35,35,35,35
mmu-miR-189,Target,35,35,35,35,35,35
mmu-miR-1893,Target,35,35,35,35,35,35
mmu-miR-1894-3p,Target,35,35,35,35,35,35
mmu-miR-1894-5p,Target,35,35,35,35,35,35
mmu-miR-1896,Target,35,35,35,35,35,35
mmu-miR-1897-3p,Target,35,35,35,35,35,35
mmu-miR-1897-5p,Target,9.6803,9.2071,9.3836,9.3004,9.8146,10.0297
mmu-miR-1898,Target,35,35,35,35,35,35
mmu-miR-1899,Target,35,35,35,35,35,35
mmu-miR-18a,Target,25.2875,25.424,26.3661,26.2132,25.9457,25.8354
mmu-miR-18a#,Target,30.3463,29.488,30.2487,29.9539,30.958,31.0209
mmu-miR-18b,Target,35,35,35,35,35,35
mmu-miR-190,Target,27.2557,27.4206,29.8489,28.8261,27.9829,28.7906
mmu-miR-1900,Target,35,35,35,35,35,35
mmu-miR-1901,Target,35,35,35,35,35,35
mmu-miR-1902,Target,35,35,35,35,35,35
mmu-miR-1903,Target,35,35,35,35,35,35
mmu-miR-1904,Target,33.8345,32.5444,35,35,33.9338,35
mmu-miR-1905,Target,27.0933,35,35,26.979,35,27.4071
mmu-miR-1906,Target,35,35,35,35,35,35
mmu-miR-190b,Target,33.5469,35,35,35,35,35
mmu-miR-191,Target,17.5784,17.0653,18.0027,17.427,17.7586,17.5856
mmu-miR-191#,Target,35,35,35,35,35,35
mmu-miR-192,Target,26.0835,26.3053,26.9513,26.905,26.1097,26.9885
mmu-miR-1927,Target,35,35,35,35,35,35
mmu-miR-1928,Target,35,35,35,35,35,35
mmu-miR-193#,Target,35,35,35,35,35,35
mmu-miR-1930,Target,35,35,35,35,35,35
mmu-miR-1931,Target,35,35,35,35,35,35
mmu-miR-1932,Target,35,35,35,35,35,35
mmu-miR-1933-3p,Target,35,35,35,35,35,35
mmu-miR-1933-5p,Target,35,35,35,35,35,35
mmu-miR-1934,Target,35,35,35,35,35,35
mmu-miR-1935,Target,35,35,35,35,35,35
mmu-miR-1936,Target,35,35,35,35,35,35
mmu-miR-1937b,Target,33.1126,35,31.6793,35,35,35
mmu-miR-1937c,Target,35,31.1663,32.9576,33.3404,35,35
mmu-miR-1938,Target,35,35,35,35,35,35
mmu-miR-1939,Target,35,35,35,35,35,35
mmu-miR-193a-3p,Target,33.0423,31.2862,34.8374,33.7583,31.6517,32.2962
mmu-miR-193b,Target,25.4932,25.388,26.025,26.3069,25.9291,25.3319
mmu-miR-194,Target,25.7371,25.9979,26.6377,26.6559,25.9579,27.0271
mmu-miR-1940,Target,35,35,35,35,35,35
mmu-miR-1941-3p,Target,35,35,35,35,35,35
mmu-miR-1941-5p,Target,35,35,35,35,35,35
mmu-miR-1942,Target,35,35,35,35,35,35
mmu-miR-1943,Target,35,35,35,35,35,35
mmu-miR-1944,Target,35,35,35,35,35,35
mmu-miR-1945,Target,35,35,35,35,35,35
mmu-miR-1946a,Target,35,35,35,35,35,35
mmu-miR-1947,Target,35,35,35,35,35,35
mmu-miR-1948,Target,19.5655,35,35,35,35,35
mmu-miR-1949,Target,35,35,35,35,35,35
mmu-miR-195,Target,22.1374,22.2991,23.597,23.5143,22.9295,22.2082
mmu-miR-1950,Target,35,35,35,35,35,35
mmu-miR-1951,Target,35,35,35,35,35,35
mmu-miR-1952,Target,35,35,35,35,35,35
mmu-miR-1953,Target,35,35,35,35,35,35
mmu-miR-1954,Target,35,35,35,35,35,35
mmu-miR-1956,Target,35,35,35,35,35,35
mmu-miR-1957,Target,35,35,35,35,35,35
mmu-miR-1958,Target,35,35,35,35,35,35
mmu-miR-1959,Target,35,35,35,35,35,35
mmu-miR-1960,Target,35,35,35,35,35,35
mmu-miR-1961,Target,10.928,9.4073,10.8797,9.9856,10.7309,10.7991
mmu-miR-1962,Target,35,35,35,35,35,35
mmu-miR-1963,Target,35,35,35,35,35,35
mmu-miR-1964,Target,35,35,35,35,35,35
mmu-miR-1965,Target,35,35,35,35,35,35
mmu-miR-1966,Target,35,35,35,35,35,35
mmu-miR-1967,Target,35,35,35,35,35,35
mmu-miR-1968,Target,35,35,35,35,35,35
mmu-miR-1969,Target,35,35,35,35,35,35
mmu-miR-196a,Target,35,35,35,35,35,35
mmu-miR-196a#,Target,35,35,35,35,35,35
mmu-miR-196b,Target,33.4164,31.929,33.1371,35,34.9737,34.2477
mmu-miR-197,Target,24.3207,28.8861,35,30.4379,31.0164,30.9552
mmu-miR-1970,Target,35,35,35,35,35,35
mmu-miR-1971,Target,35,35,18.5041,32.9936,35,35
mmu-miR-1981,Target,35,35,35,35,35,35
mmu-miR-1982.1,Target,32.7144,29.9092,31.5757,32.6147,34.5188,35
mmu-miR-1982.2,Target,13.1658,12.9756,12.8704,13.4271,35,12.8819
mmu-miR-199a,Target,35,30.4624,35,35,31.429,31.9651
mmu-miR-199a-3p,Target,23.8262,23.0965,25.191,26.0122,23.9572,24.0277
mmu-miR-199b,Target,35,35,35,35,35,35
mmu-miR-19a,Target,21.1612,20.9513,22.9151,22.0358,21.7328,21.9719
mmu-miR-19a#,Target,33.5947,32.9726,35,33.4073,34.8768,35
mmu-miR-19b,Target,16.2317,16.1278,17.6671,17.118,16.7133,16.9623
mmu-miR-200a,Target,26.3312,26.0082,27.5543,30.4589,28.0047,28.7302
mmu-miR-200a#,Target,30.3574,34.0337,31.0078,35,31.5065,32.4123
mmu-miR-200b,Target,30.3416,30.0208,30.4059,32.2276,30.979,31.1342
mmu-miR-200b#,Target,29.7807,28.5486,29.8919,35,32.01,35
mmu-miR-200c,Target,30.348,29.9848,30.5638,30.4756,30.103,30.5978
mmu-miR-200c#,Target,35,35,35,35,35,35
mmu-miR-201,Target,35,28.2487,35,35,35,35
mmu-miR-202,Target,35,35,35,35,35,35
mmu-miR-202-5p,Target,35,35,35,35,35,35
mmu-miR-203,Target,24.7591,25.0767,26.4762,25.8947,25.9895,25.936
mmu-miR-203#,Target,35,35,35,35,35,35
mmu-miR-204,Target,18.6416,19.5236,19.7957,19.1851,17.9762,18.44
mmu-miR-205,Target,30.635,31.1167,33.9959,32.393,30.1773,31.9157
mmu-miR-206,Target,25.9443,25.3114,24.3189,27.8715,35,26.2953
mmu-miR-207,Target,35,35,35,35,35,35
mmu-miR-208,Target,35,35,35,35,35,35
mmu-miR-208b,Target,35,34.9804,35,32.9944,35,34.0584
mmu-miR-20a,Target,18.3173,18.5214,19.8913,19.4486,19.0013,19.0063
mmu-miR-20a#,Target,35,35,35,35,35,35
mmu-miR-20b,Target,21.7954,21.9342,22.9325,22.7956,22.2995,22.421
mmu-miR-20b#,Target,35,35,35,35,35,35
mmu-miR-21,Target,23.0493,23.2141,24.9505,24.0473,23.6712,23.785
mmu-miR-21#,Target,35,35,35,35,35,35
mmu-miR-210,Target,23.022,21.9673,23.5041,23.4934,22.9749,23.4167
mmu-miR-211,Target,35,35,35,35,35,35
mmu-miR-212,Target,35,35,35,35,35,35
mmu-miR-213,Target,24.8545,25.4993,25.4634,24.9247,25.6185,24.5998
mmu-miR-2134,Target,33.4209,33.9457,32.2849,32.3251,32.9522,33.7795
mmu-miR-2135,Target,35,35,35,35,35,35
mmu-miR-2136,Target,35,35,35,35,35,35
mmu-miR-2138,Target,35,35,35,35,35,35
mmu-miR-2139,Target,35,35,35,35,35,35
mmu-miR-214,Target,30.16,29.6968,30.789,31.4871,30.3931,30.3746
mmu-miR-214#,Target,28.728,27.3115,28.9879,29.9603,28.3092,28.4717
mmu-miR-2146,Target,35,35,35,35,35,35
mmu-miR-215,Target,35,35,35,35,35,35
mmu-miR-216a,Target,28.8187,28.4076,29.4702,29.9829,29.1994,31.9646
mmu-miR-216b,Target,25.966,25.2884,25.8916,26.7875,25.9516,28.0666
mmu-miR-217,Target,35,35,35,35,35,35
mmu-miR-218,Target,18.3737,18.0731,19.8851,18.9867,18.6772,19.9466
mmu-miR-218-1#,Target,35,35,35,35,35,35
mmu-miR-218-2#,Target,28.7222,28.229,29.4616,28.3698,28.9541,29.2062
mmu-miR-2182,Target,33.3604,33.1658,32.8571,33.1845,33.5278,35
mmu-miR-2183,Target,35,35,35,35,35,35
mmu-miR-219,Target,28.8658,28.3526,29.9856,29.9152,28.936,30.4832
mmu-miR-219-2-3p,Target,28.6651,28.8404,29.0054,29.8642,29.0618,30.1888
mmu-miR-22,Target,35,35,35,35,35,35
mmu-miR-22#,Target,26.4987,26.7977,26.4228,25.9818,26.3757,26.3945
mmu-miR-220,Target,35,35,35,35,35,35
mmu-miR-221,Target,22.7358,23.2423,23.9443,23.5235,23.1599,23.6656
mmu-miR-222,Target,19.5057,19.4801,19.9393,19.4693,19.8476,19.8262
mmu-miR-223,Target,28.3828,27.867,28.8893,29.28,28.4724,28.5494
mmu-miR-224,Target,32.5576,32.1955,33.3322,32.6997,31.9917,32.8831
mmu-miR-23a,Target,35,35,35,35,35,35
mmu-miR-23a#,Target,34.1787,35,35,35,35,35
mmu-miR-23b,Target,26.4891,26.054,26.9946,27.0788,26.9168,27.0785
mmu-miR-24,Target,17.9327,17.5063,18.467,18.2345,17.9845,18.2176
mmu-miR-24-2#,Target,35,35,35,35,35,35
mmu-miR-25,Target,24.8478,24.9109,25.969,26.1557,25.4769,25.1427
mmu-miR-26a,Target,19.626,19.5809,20.4551,20.4107,19.952,19.9239
mmu-miR-26b,Target,23.4031,23.1433,24.4627,24.206,23.5005,23.9688
mmu-miR-26b#,Target,27.6977,29.9844,27.87,27.0883,27.4339,27.7425
mmu-miR-27a,Target,25.5293,25.8084,26.9581,26.9651,25.6466,26.3613
mmu-miR-27a#,Target,26.9168,29.5231,27.1407,26.4529,26.3191,26.5873
mmu-miR-27b,Target,25.5576,25.605,26.8321,26.8078,25.9672,26.9736
mmu-miR-27b#,Target,27.5688,27.6593,27.9797,27.0809,27.3322,27.8323
mmu-miR-28,Target,25.6755,25.5258,26.7523,26.8158,25.9535,26.8436
mmu-miR-28#,Target,35,35,35,35,35,35
mmu-miR-28-3p,Target,35,35,35,35,35,35
mmu-miR-290,Target,35,35,35,35,35,35
mmu-miR-290-3p,Target,35,35,35,35,35,35
mmu-miR-290-5p,Target,35,35,35,35,35,35
mmu-miR-291-3p,Target,35,35,35,35,35,35
mmu-miR-291-5p,Target,35,35,35,35,35,35
mmu-miR-291a-3p,Target,35,35,35,35,35,35
mmu-miR-291b-3p,Target,35,35,35,35,35,35
mmu-miR-291b-5p,Target,35,35,35,35,35,35
mmu-miR-292-3p,Target,35,35,35,35,35,35
mmu-miR-292-5p,Target,35,35,35,35,35,35
mmu-miR-293,Target,35,35,35,35,35,35
mmu-miR-293#,Target,35,35,35,35,35,35
mmu-miR-294,Target,35,35,35,35,35,35
mmu-miR-294#,Target,35,35,35,35,35,35
mmu-miR-295,Target,35,35,35,35,35,35
mmu-miR-295#,Target,35,35,35,35,35,35
mmu-miR-296,Target,19.5316,19.7506,20.5518,21.2932,19.6501,21.0093
mmu-miR-296-3p,Target,28.4155,29.4033,29.9651,29.7178,28.6608,29.4218
mmu-miR-297a#,Target,35,35,35,35,35,35
mmu-miR-297b,Target,35,35,35,35,35,35
mmu-miR-297c,Target,35,35,35,35,35,35
mmu-miR-298,Target,35,35,35,35,35,35
mmu-miR-299,Target,35,35,35,35,35,35
mmu-miR-299-5p,Target,35,35,35,35,35,35
mmu-miR-29a,Target,21.9704,21.5946,22.6137,22.127,21.9348,23.2805
mmu-miR-29a#,Target,28.7621,27.8803,30.9806,27.6148,28.9107,28.9622
mmu-miR-29b,Target,30.0022,30.0111,31.9902,30.7936,29.7132,32.1062
mmu-miR-29b#,Target,35,35,35,35,35,35
mmu-miR-29b-2#,Target,30.855,30.9814,30.72,30.1185,30.7163,31.73
mmu-miR-29c,Target,26.4129,26.3376,27.9971,26.9635,26.3849,28.5314
mmu-miR-300,Target,35,35,35,35,35,35
mmu-miR-300#,Target,35,35,35,35,35,35
mmu-miR-301,Target,20.5455,20.5884,22.3269,21.5149,20.9874,22.1551
mmu-miR-301b,Target,20.9112,20.9863,22.4875,21.9146,21.2489,22.2755
mmu-miR-302a,Target,31.3013,31.6924,32.9575,32.4684,32.3502,34.356
mmu-miR-302a#,Target,35,35,35,35,35,35
mmu-miR-302b,Target,35,35,35,35,35,35
mmu-miR-302b#,Target,35,35,35,35,35,35
mmu-miR-302c,Target,35,35,35,35,35,35
mmu-miR-302c#,Target,35,35,35,35,35,35
mmu-miR-302d,Target,35,35,35,35,35,35
mmu-miR-30a-3p,Target,20.2708,20.6143,20.4919,19.9504,20.4601,20.5541
mmu-miR-30a-5p,Target,35,35,35,35,35,35
mmu-miR-30b,Target,17.942,17.9896,18.6726,18.7308,17.9786,18.684
mmu-miR-30b#,Target,35,35,35,35,35,35
mmu-miR-30c,Target,16.8462,16.8449,17.3247,17.664,16.9626,17.4362
mmu-miR-30c-1#,Target,30.7654,31.5068,30.37,29.3858,31.9991,32.4692
mmu-miR-30c-2#,Target,27.0674,35,35,26.7179,35,28.0446
mmu-miR-30d,Target,35,35,35,35,35,35
mmu-miR-30d#,Target,24.967,27.9921,25.2064,24.4956,24.3253,24.6227
mmu-miR-30e,Target,35,35,35,35,35,35
mmu-miR-30e-3p,Target,20.227,20.8532,20.4876,19.9654,20.4208,20.5412
mmu-miR-31,Target,35,35,35,35,35,35
mmu-miR-31#,Target,24.096,25.1976,24.7996,23.6062,23.1432,23.9492
mmu-miR-32,Target,30.0381,29.4168,31.8932,30.8964,29.9627,31.6762
mmu-miR-320,Target,21.5504,21.1922,21.9443,21.7453,21.8474,22.3426
mmu-miR-322,Target,35,35,35,35,35,35
