miRNA,Type,T1,T2,T3,C1,C2,C3
mmu-miR-322#,Target,35,35,35,35,35,35
mmu-miR-323-3p,Target,19.7067,19.4597,20.0005,19.6785,19.5547,21.3096
mmu-miR-324-3p,Target,35,35,35,35,35,35
mmu-miR-324-5p,Target,23.4335,23.6891,24.6443,24.7408,23.727,24.9693
mmu-miR-325,Target,35,35,35,35,35,35
mmu-miR-326,Target,35,35,35,35,35,35
mmu-miR-327,Target,35,35,35,35,35,35
mmu-miR-328,Target,19.0597,19.2976,19.8708,20.5015,19.2313,19.9627
mmu-miR-329,Target,35,35,35,35,35,35
mmu-miR-330,Target,35,35,35,35,35,35
mmu-miR-330-5p,Target,28.9172,29.3766,29.9406,29.6024,29.1485,30.2506
mmu-miR-331,Target,18.3673,18.0359,18.9071,18.7365,18.4651,18.5769
mmu-miR-331-5p,Target,25.6372,25.2858,26.1442,25.2692,25.5067,25.8971
mmu-miR-335,Target,20.9624,20.5125,21.9095,21.6038,20.9857,22.6861
mmu-miR-335#,Target,35,35,35,35,35,35
mmu-miR-337,Target,35,35,35,35,35,35
mmu-miR-337-3p,Target,35,35,35,35,35,35
mmu-miR-337-5p,Target,35,35,35,35,35,35
mmu-miR-338,Target,35,35,35,35,35,35
mmu-miR-338-3p,Target,27.9646,28.1347,29.3389,28.7285,28.2729,28.9645
mmu-miR-338-5P,Target,25.9178,26.2183,25.7468,25.1927,25.8824,26.7979
mmu-miR-339-3p,Target,35,35,35,35,35,35
mmu-miR-339-5p,Target,24.8643,24.8663,26.0156,25.8671,25.1474,25.7734
mmu-miR-33a#,Target,27.0383,27.9835,27.5785,26.5763,27.6724,27.5357
mmu-miR-340,Target,28.4801,28.295,29.0815,28.8461,28.6041,28.8098
mmu-miR-340#,Target,35,35,35,35,35,35
mmu-miR-342-3p,Target,17.2766,16.5106,17.4853,16.9034,17.7648,17.9747
mmu-miR-342-5p,Target,35,35,35,35,35,35
mmu-miR-343,Target,35,35,35,35,35,35
mmu-miR-344,Target,35,35,35,35,35,35
mmu-miR-345,Target,35,35,35,35,35,35
mmu-miR-345-3p,Target,35,35,35,35,35,35
mmu-miR-345-5p,Target,35,35,35,35,35,35
mmu-miR-346,Target,35,35,35,35,35,35
mmu-miR-34a,Target,26.0949,25.9835,26.4427,26.8535,26.0206,26.9532
mmu-miR-34b,Target,35,35,35,35,35,35
mmu-miR-34b-3p,Target,22.6174,21.6732,21.959,20.9973,20.8843,21.4709
mmu-miR-34b-5p,Target,35,35,35,35,35,35
mmu-miR-34c,Target,25.4548,26.0055,25.9653,25.2045,23.962,25.5424
mmu-miR-34c#,Target,25.1209,25.2649,24.9469,23.3168,23.5503,24.6795
mmu-miR-350,Target,35,35,35,35,35,35
mmu-miR-351,Target,35,35,35,35,35,35
mmu-miR-361,Target,26.4167,26.5641,27.8672,27.6583,26.8662,26.9697
mmu-miR-362-3p,Target,34.9277,35,35,35,35,35
mmu-miR-362-5p,Target,35,35,35,35,35,35
mmu-miR-363,Target,31.0274,30.9949,31.7567,32.4618,30.713,31.5052
mmu-miR-363#,Target,31.778,30.4789,30.2076,33.0462,32.3331,30.3738
mmu-miR-365,Target,23.0317,23.0115,23.9642,24.0198,23.3525,23.7865
mmu-miR-367,Target,31.1803,30.5272,31.9456,31.9206,32.1865,33.0033
mmu-miR-369-3p,Target,28.0108,28.2162,29.977,28.4169,28.5236,30.3321
mmu-miR-369-5p,Target,24.1361,24.0532,24.5435,24.9405,24.1136,26.003
mmu-miR-370,Target,28.7484,28.8902,28.978,28.9855,28.8215,29.4296
mmu-miR-374#,Target,35,35,10.6961,10.216,35,35
mmu-miR-374-5p,Target,34.9629,35,35,35,35,35
mmu-miR-375,Target,23.6159,23.9687,23.9471,23.0817,22.5755,24.4364
mmu-miR-376a,Target,35,35,35,35,35,35
mmu-miR-376a#,Target,35,35,35,35,35,35
mmu-miR-376b,Target,28.5127,28.0061,35,28.6873,30.1147,35
mmu-miR-376b#,Target,35,35,35,35,35,35
mmu-miR-376c,Target,35,35,35,35,35,35
mmu-miR-376c#,Target,35,35,35,35,35,35
mmu-miR-377,Target,35,35,35,35,35,35
mmu-miR-378,Target,29.7667,29.7573,29.956,29.8663,29.6785,29.9788
mmu-miR-379,Target,21.5323,21.3989,21.9719,22.1968,21.7041,23.2929
mmu-miR-380-3p,Target,35,35,35,35,35,35
mmu-miR-380-5p,Target,35,35,35,35,35,35
mmu-miR-381,Target,30.7696,30.9382,32.9143,31.2834,30.843,32.524
mmu-miR-382,Target,18.6215,18.775,19.1907,19.2955,18.9556,20.2863
mmu-miR-383,Target,35,35,35,35,35,35
mmu-miR-384-3p,Target,35,35,35,35,35,35
mmu-miR-384-5p,Target,35,35,35,35,35,35
mmu-miR-409-3p,Target,35,35,35,35,35,34.8864
mmu-miR-409-5p,Target,26.1939,25.752,26.7407,26.6113,25.9835,27.6103
mmu-miR-410,Target,20.1934,19.6826,20.2894,20.8843,20.4277,21.9724
mmu-miR-411,Target,20.3683,19.9951,20.9804,20.7011,20.722,21.8692
mmu-miR-411#,Target,24.7748,24.7384,24.5139,24.9782,24.7231,26.0105
mmu-miR-412,Target,35,35,35,35,35,35
mmu-miR-421,Target,22.6307,22.9559,22.7221,21.9216,22.5804,23.4814
mmu-miR-423-3P,Target,23.379,24.9257,23.6772,23.0612,23.3791,24.0711
mmu-miR-423-5p,Target,28.4193,28.8111,29.3438,28.809,28.9941,29.3982
mmu-miR-425,Target,35,35,35,35,35,35
mmu-miR-425-5p,Target,23.1677,23.0071,23.9683,23.8556,23.7952,24.3383
mmu-miR-429,Target,35,35,35,35,35,35
mmu-miR-431,Target,20.7101,19.9126,21.4879,20.2669,20.9805,22.6622
mmu-miR-431#,Target,26.5714,30.0233,26.9545,26.3542,26.8858,28.6631
mmu-miR-432,Target,35,35,35,35,34.9189,35
mmu-miR-433,Target,20.4401,20.2368,20.8428,20.6825,20.4477,21.9467
mmu-miR-433-5p,Target,35,35,35,35,35,35
mmu-miR-434-3p,Target,35,35,35,35,35,35
mmu-miR-434-5p,Target,35,35,35,35,35,35
mmu-miR-448,Target,25.6664,26.9116,26.982,26.0947,24.6735,25.5721
mmu-miR-449,Target,20.7032,20.7642,21.7429,19.549,19.9518,20.4875
mmu-miR-449b,Target,31.7116,31.8216,32.4992,31.5558,31.2379,31.9205
mmu-miR-450a,Target,28.9706,29.0246,30.9737,30.1528,29.8493,30.4745
mmu-miR-450a-3p,Target,35,35,35,35,35,35
mmu-miR-450b,Target,35,35,35,35,35,35
mmu-miR-450B-3P,Target,35,35,35,35,35,35
mmu-miR-451,Target,28.5183,28.2783,29.7133,29.9597,28.6881,28.6654
mmu-miR-452,Target,35,35,35,35,35,35
mmu-miR-453,Target,35,35,35,35,35,35
mmu-miR-455,Target,35,35,35,34.4748,34.0365,35
mmu-miR-463,Target,35,35,35,35,35,35
mmu-miR-463#,Target,35,35,35,35,35,35
mmu-miR-464,Target,35,35,35,35,35,35
mmu-miR-465,Target,35,35,35,35,35,35
mmu-miR-465a-3p,Target,35,35,35,35,35,35
mmu-miR-465b-5p,Target,35,35,35,35,35,35
mmu-miR-465C-5P,Target,35,35,35,35,35,35
mmu-miR-466a-3p,Target,35,35,35,35,35,35
mmu-miR-466b-3-3p,Target,35,35,35,35,35,35
mmu-miR-466d-5p,Target,35,35,35,35,35,35
mmu-miR-466E-5P,Target,35,35,35,35,35,35
mmu-miR-466g,Target,35,35,35,35,35,35
mmu-miR-466h,Target,35,35,35,35,35,35
mmu-miR-466J,Target,35,35,35,35,35,35
mmu-miR-466k,Target,35,35,35,35,35,35
mmu-miR-467#,Target,35,35,35,35,35,35
mmu-miR-467a,Target,35,35,35,35,35,35
mmu-miR-467b,Target,35,35,35,35,35,35
mmu-miR-467c,Target,35,35,35,35,35,35
mmu-miR-467d,Target,35,35,35,35,35,35
mmu-miR-467e,Target,35,35,35,35,35,35
mmu-miR-467e#,Target,35,35,35,35,35,35
mmu-miR-467F,Target,35,35,35,35,35,35
mmu-miR-467H,Target,35,35,35,35,35,35
mmu-miR-468,Target,35,35,35,35,35,35
mmu-miR-469,Target,35,35,35,35,35,35
mmu-miR-470,Target,35,35,35,35,35,35
mmu-miR-470#,Target,35,35,35,35,35,35
mmu-miR-471,Target,35,35,35,35,35,35
mmu-miR-483,Target,35,35,35,35,35,35
mmu-miR-483#,Target,31.2508,30.1286,33.0608,35,33.6511,31.5673
mmu-miR-484,Target,18.9116,18.582,20.9616,19.1141,19.7128,19.3897
mmu-miR-485-3p,Target,35,35,35,35,35,35
mmu-miR-485-5p,Target,35,35,35,35,35,35
mmu-miR-486,Target,26.0491,25.7553,26.6986,26.3642,26.1311,27.0061
mmu-miR-487b,Target,27.6577,27.5204,27.9738,27.8148,27.7692,28.4823
mmu-miR-488#,Target,35,35,35,35,35,35
mmu-miR-489,Target,33.7216,31.7975,35,31.5885,31.9826,35
mmu-miR-490,Target,29.1296,30.0523,30.1667,30.9154,30.0004,29.9807
mmu-miR-491,Target,35,35,32.9453,35,32.6647,35
mmu-miR-493,Target,35,35,35,35,35,35
mmu-miR-493-3p,Target,35,35,35,35,35,35
mmu-miR-494,Target,29.9553,29.5174,30.3581,29.5599,29.4788,30.6393
mmu-miR-495,Target,21.1732,20.9133,21.9327,21.4702,21.313,22.4364
mmu-miR-496,Target,28.394,28.4537,28.9483,29.4556,28.9642,29.6028
mmu-miR-497,Target,35,35,35,35,35,35
mmu-miR-499,Target,29.9615,29.8536,31.0592,30.2139,30.17,29.69
mmu-miR-500,Target,35,35,35,35,35,35
mmu-miR-501,Target,35,35,35,35,35,35
mmu-miR-501#,Target,35,35,35,35,35,35
mmu-miR-503,Target,32.8882,33.7377,34.0096,35,32.6212,33.3238
mmu-miR-503#,Target,35,35,35,35,35,35
mmu-miR-504,Target,29.8658,30.102,32.3212,32.5581,30.0236,29.2422
mmu-miR-505,Target,35,35,35,35,35,35
mmu-miR-509-3p,Target,35,35,35,35,35,35
mmu-miR-509-5p,Target,35,35,35,35,35,35
mmu-miR-511,Target,35,35,35,35,35,35
mmu-miR-532,Target,22.3253,21.9247,24.1381,22.8616,23.0396,23.0042
mmu-miR-532-3p,Target,22.0096,22.1957,22.9414,23.0011,22.057,22.0039
mmu-miR-539,Target,18.8743,18.3411,18.9295,18.8264,18.8075,20.2484
mmu-miR-540,Target,35,35,35,35,35,35
mmu-miR-540-5p,Target,35,35,35,35,35,35
mmu-miR-541,Target,35,35,35,35,35,35
mmu-miR-542-3p,Target,29.1884,29.271,30.9966,31.1201,29.7239,30.8413
mmu-miR-542-5p,Target,35,35,35,35,35,35
mmu-miR-543,Target,29.2396,29.0769,29.4898,29.3555,29.277,29.823
mmu-miR-544,Target,35,35,35,35,35,35
mmu-miR-546,Target,35,35,35,35,35,35
mmu-miR-547,Target,35,35,35,35,35,35
mmu-miR-551b,Target,28.1771,28.6929,29.2783,29.957,28.7556,28.4835
mmu-miR-574-3p,Target,23.1051,22.0037,23.3911,23.5265,22.9454,22.484
mmu-miR-582-3p,Target,35,35,35,35,35,35
mmu-miR-582-5p,Target,35,35,34.1862,35,35,35
mmu-miR-590-3P,Target,35,35,35,35,35,35
mmu-miR-590-5p,Target,35,35,35,35,35,35
mmu-miR-592,Target,22.932,21.236,22.7809,22.0052,22.5726,23.9952
mmu-miR-598,Target,35,16.8805,35,18.2244,35,35
mmu-miR-599,Target,35,35,35,35,35,35
mmu-miR-615,Target,35,35,35,35,35,35
mmu-miR-615-5p,Target,35,35,35,35,35,35
mmu-miR-652,Target,22.7286,22.5347,23.5336,23.8458,22.9621,23.6999
mmu-miR-653,Target,35,35,35,35,35,35
mmu-miR-654-3p,Target,35,35,35,35,35,35
mmu-miR-654-5p,Target,35,35,35,35,35,35
mmu-miR-665,Target,35,35,35,35,35,35
mmu-miR-666,Target,35,35,35,35,35,35
mmu-miR-666-3p,Target,35,35,35,35,35,35
mmu-miR-667,Target,35,35,35,35,35,35
mmu-miR-668,Target,35,35,35,35,35,35
mmu-miR-669a,Target,35,35,35,35,35,35
mmu-miR-669C,Target,35,35,35,35,35,35
mmu-miR-669D,Target,35,35,35,35,35,35
mmu-miR-669E,Target,35,35,35,35,35,35
mmu-miR-669G,Target,35,35,35,35,35,35
mmu-miR-669H-5P,Target,35,35,35,35,35,35
mmu-miR-669l,Target,35,35,35,35,35,35
mmu-miR-669m,Target,35,35,35,35,35,35
mmu-miR-669n,Target,35,35,35,35,35,35
mmu-miR-669o,Target,35,35,35,35,35,35
mmu-miR-670,Target,35,35,35,35,35,35
mmu-miR-671-3p,Target,26.4962,26.885,26.9627,27.323,26.4268,27.1369
mmu-miR-671-5p,Target,35,35,35,35,35,35
mmu-miR-672,Target,20.9573,20.6247,20.942,20.5847,20.8021,21.7267
mmu-miR-673,Target,35,35,35,35,35,35
mmu-miR-673-3p,Target,35,35,35,35,35,35
mmu-miR-674,Target,25.6798,26.2409,27.0372,27.3023,26.2236,27.2623
mmu-miR-674#,Target,35,35,35,35,35,35
mmu-miR-675-3p,Target,35,35,35,35,35,35
mmu-miR-675-5p,Target,35,35,35,35,35,35
mmu-miR-676,Target,35,35,35,35,35,35
mmu-miR-676#,Target,35,35,35,35,35,35
mmu-miR-677,Target,35,35,35,35,35,35
mmu-miR-679,Target,35,35,35,35,35,35
mmu-miR-680,Target,35,35,35,35,35,35
mmu-miR-682,Target,35,35,35,35,35,35
mmu-miR-683,Target,35,35,35,35,35,35
mmu-miR-684,Target,35,12.6273,35,35,35,35
mmu-miR-685,Target,35,35,35,35,35,35
mmu-miR-686,Target,35,35,35,35,35,35
mmu-miR-687,Target,35,35,35,35,35,35
mmu-miR-688,Target,35,35,35,35,35,35
mmu-miR-690,Target,35,35,35,35,35,35
mmu-miR-691,Target,35,35,35,35,35,35
mmu-miR-692,Target,35,35,35,35,35,35
mmu-miR-693,Target,35,35,35,35,35,35
mmu-miR-693-3p,Target,35,35,35,35,35,35
mmu-miR-694,Target,35,35,35,35,35,35
mmu-miR-695,Target,35,35,35,35,35,35
mmu-miR-696,Target,35,35,35,35,35,35
mmu-miR-697,Target,35,35,35,35,35,35
mmu-miR-698,Target,35,35,35,35,35,35
mmu-miR-7,Target,35,35,35,35,35,35
mmu-miR-700,Target,35,35,35,35,35,35
mmu-miR-701,Target,35,35,35,35,35,35
mmu-miR-702,Target,35,35,35,35,35,35
mmu-miR-704,Target,35,35,35,35,35,35
mmu-miR-706,Target,35,35,35,35,35,35
mmu-miR-707,Target,35,35,35,35,35,35
mmu-miR-708,Target,22.8364,22.9668,23.9416,23.8633,23.2298,23.1541
mmu-miR-708#,Target,26.9643,35,35,26.1591,35,26.6521
mmu-miR-710,Target,35,35,35,35,35,35
mmu-miR-711,Target,35,35,35,35,35,35
mmu-miR-712,Target,35,35,35,35,35,35
mmu-miR-712#,Target,35,35,35,35,35,35
mmu-miR-713,Target,35,35,35,35,35,35
mmu-miR-715,Target,35,35,35,35,35,35
mmu-miR-717,Target,35,35,35,35,35,35
mmu-miR-718,Target,35,35,35,35,35,35
mmu-miR-719,Target,35,35,35,35,35,35
mmu-miR-720,Target,35,35,35,35,35,35
mmu-miR-721,Target,35,35,35,35,35,35
mmu-miR-741,Target,35,35,35,35,35,35
mmu-miR-742,Target,35,35,35,35,35,35
mmu-miR-742#,Target,35,35,35,35,35,35
mmu-miR-743a,Target,35,35,35,35,35,35
mmu-miR-743b-3p,Target,35,35,35,35,35,35
mmu-miR-743b-5p,Target,35,35,35,35,35,35
mmu-miR-744,Target,22.8258,22.9613,23.6832,23.657,22.9482,23.8192
mmu-miR-744#,Target,28.7815,29.9411,28.9991,27.9046,28.6852,29.8423
mmu-miR-758,Target,30.1783,30.1213,30.4793,30.4109,30.2722,31.0539
mmu-miR-759,Target,35,35,35,35,35,35
mmu-miR-761,Target,35,35,35,35,35,35
mmu-miR-762,Target,35,35,35,35,35,35
mmu-miR-763,Target,35,35,35,35,35,35
mmu-miR-764-3p,Target,35,35,35,35,35,35
mmu-miR-764-5p,Target,35,35,35,35,35,35
mmu-miR-767,Target,35,35,35,35,35,35
mmu-miR-770-3p,Target,35,35,35,35,35,35
mmu-miR-770-5p,Target,35,35,35,35,35,35
mmu-miR-7b,Target,35,33.8151,35,35,34.02,35
mmu-miR-802,Target,35,35,35,35,35,35
mmu-miR-804,Target,35,35,35,35,35,35
mmu-miR-805,Target,31.335,31.163,35,35,35,35
mmu-miR-871,Target,35,35,35,35,35,35
mmu-miR-872,Target,22.8825,22.9459,23.9541,23.5977,23.278,23.7058
mmu-miR-872#,Target,35,35,35,35,35,35
mmu-miR-873,Target,29.2451,29.4058,30.387,30.4197,29.9823,31.3036
mmu-miR-874,Target,27.5319,27.7208,28.2268,28.1707,27.8897,28.938
mmu-miR-875-3p,Target,35,35,35,35,35,35
mmu-miR-875-5p,Target,31.4158,31.0608,31.432,30.7192,31.9512,31.9531
mmu-miR-876-3p,Target,35,35,35,35,35,35
mmu-miR-876-5p,Target,35,35,35,35,35,35
mmu-miR-877#,Target,35,35,35,35,35,35
mmu-miR-878-3p,Target,35,35,35,35,35,35
mmu-miR-878-5p,Target,35,35,35,35,35,35
mmu-miR-879,Target,35,35,35,35,35,35
mmu-miR-879#,Target,35,35,35,35,35,35
mmu-miR-880,Target,35,35,35,35,35,35
mmu-miR-881,Target,35,35,35,35,35,35
mmu-miR-881#,Target,35,35,35,35,35,35
mmu-miR-882,Target,35,35,35,35,35,35
mmu-miR-883a-3p,Target,35,35,35,35,35,35
mmu-miR-883a-5p,Target,35,35,35,35,35,35
mmu-miR-883b-3p,Target,35,35,35,35,35,35
mmu-miR-883B-5P,Target,35,35,35,35,35,35
mmu-miR-9,Target,14.2088,14.5484,15.316,15.4076,14.9541,14.544
mmu-miR-9#,Target,16.6103,17.4267,17.2423,16.4081,16.9728,16.7862
mmu-miR-92,Target,35,35,35,35,35,35
mmu-miR-92a#,Target,35,35,35,35,35,35
mmu-miR-93,Target,21.9526,21.9116,22.9424,23.066,22.6062,22.2996
mmu-miR-93#,Target,24.4595,24.5596,24.9563,24.186,24.9902,24.9379
mmu-miR-935,Target,21.2841,21.985,21.6347,21.0799,21.8506,21.9704
mmu-miR-96,Target,34.9867,31.4696,35,35,35,33.4558
mmu-miR-98,Target,22.5748,22.4222,23.9946,22.8644,22.5155,23.0079
mmu-miR-99a,Target,19.3088,19.6289,20.2557,20.6858,19.9355,19.8006
mmu-miR-99b,Target,19.1848,19.2634,20.0159,20.432,19.6023,20.2121
mmu-miR-99b#,Target,25.2063,25.3498,25.4867,24.8809,25.2397,25.9561
rno-miR-1,Target,30.6806,29.4715,31.1182,30.9726,35,30.4985
rno-miR-1#,Target,35,35,35,35,35,35
rno-miR-105,Target,35,35,35,35,35,35
rno-miR-125b#,Target,35,35,35,35,35,35
rno-miR-135a#,Target,35,35,35,35,35,35
rno-miR-146B,Target,35,35,35,35,35,35
rno-miR-148b-5p,Target,35,35,35,35,35,35
rno-miR-17-3p,Target,32.0745,29.9985,33.0042,31.0928,29.9432,32.2172
rno-miR-190b,Target,32.3511,32.5125,34.9752,34.5275,32.8826,34.0824
rno-miR-196c,Target,35,35,35,35,35,35
rno-miR-204#,Target,35,35,35,35,35,35
rno-miR-207,Target,35,35,35,35,35,35
rno-miR-20a#,Target,35,35,35,35,35,35
rno-miR-20b,Target,35,35,34.8095,35,35,35
rno-miR-20b-3p,Target,35,35,35,35,35,35
rno-miR-219-1-3p,Target,35,34.9398,35,33.9772,34.053,35
rno-miR-220,Target,35,35,35,35,35,35
rno-miR-24-1#,Target,35,35,35,35,35,35
rno-miR-25#,Target,35,35,35,35,35,35
rno-miR-293,Target,35,35,35,35,35,35
rno-miR-294,Target,35,35,35,35,35,35
rno-miR-29b-1#,Target,35,35,35,35,35,35
rno-miR-29c#,Target,27.2278,29.9829,27.2385,26.6847,26.9936,27.9377
rno-miR-327,Target,35,35,21.1072,35,35,35
rno-miR-333,Target,35,35,35,35,35,35
rno-miR-336,Target,35,35,35,35,35,35
rno-miR-339-3p,Target,35,35,35,35,35,35
rno-miR-343,Target,35,35,35,35,35,35
rno-miR-344,Target,16.8678,17.7298,18.9854,17.07,16.6926,16.8157
rno-miR-344-5p,Target,35,35,35,35,35,35
rno-miR-345-3p,Target,35,35,35,35,35,35
rno-miR-346,Target,35,35,35,35,35,35
rno-miR-347,Target,35,35,35,35,35,35
rno-miR-349,Target,35,35,35,35,35,35
rno-miR-350,Target,35,35,35,35,35,35
rno-miR-351,Target,35,35,35,35,35,35
rno-miR-352,Target,35,35,35,35,35,35
rno-miR-377,Target,35,35,35,35,35,35
rno-miR-379#,Target,35,35,35,35,35,35
rno-miR-381,Target,27.9848,27.8461,28.2956,28.4388,28.1261,29.9366
rno-miR-382#,Target,35,35,35,35,35,35
rno-miR-409-3P,Target,29.2506,35,28.6505,28.9801,35,35
rno-miR-409-5p,Target,35,35,35,35,35,35
rno-miR-421,Target,35,35,35,35,35,35
rno-miR-450,Target,35,35,35,35,35,35
rno-miR-465,Target,35,35,35,35,35,35
rno-miR-466b,Target,35,35,35,35,35,35
rno-miR-466c,Target,35,35,35,35,35,35
rno-miR-489,Target,35,35,35,35,35,35
rno-miR-504,Target,35,35,35,35,35,35
rno-miR-505,Target,33.7931,31.8578,34.2057,32.7568,33.8013,35
rno-miR-513,Target,35,35,35,35,35,35
rno-miR-532-5p,Target,23.6174,22.983,24.9442,23.9057,23.7299,23.9866
rno-miR-543,Target,35,35,35,35,35,35
rno-miR-547,Target,35,35,35,35,35,35
rno-miR-551B,Target,35,35,35,35,35,35
rno-miR-598-5p,Target,35,35,35,35,35,35
rno-miR-632,Target,35,33.2491,33.9371,32.0906,34.7899,35
rno-miR-653,Target,35,35,35,35,35,35
rno-miR-664,Target,35,35,35,35,35,35
rno-miR-666,Target,35,35,35,35,35,35
rno-miR-673,Target,35,35,35,35,35,35
rno-miR-7#,Target,20.7979,19.2589,20.9744,20.0972,20.9041,20.8059
rno-miR-711,Target,35,35,35,35,35,35
rno-miR-742,Target,35,35,35,35,35,35
rno-miR-743a,Target,35,35,35,35,35,35
rno-miR-743b,Target,35,35,35,35,35,35
rno-miR-760-5p,Target,35,35,35,35,35,35
rno-miR-7a#,Target,16.1469,35,35,35,35,35
rno-miR-871,Target,35,35,35,35,35,35
rno-miR-876,Target,35,35,35,35,35,35
rno-miR-878,Target,35,35,35,35,35,35
rno-miR-880,Target,35,35,35,35,35,35
rno-miR-881,Target,35,35,35,35,35,35
rno-miR-99a#,Target,31.4152,34.1301,34.3844,31.2262,34.1716,31.1655
snoRNA135,Target,35,35,35,35,35,35
snoRNA202,Target,35,35,35,35,35,35
U6 snRNA,Selected Control,13.2596,13.1258,13.5539,13.114,13.4773,13.739
U87,Target,34.4012,35,35,35,35,35
Y1,Selected Control,31.2327,32.3676,32.0413,31.8015,31.9662,32.5407
