Gen,Condicion,Cx1,Cx2,Cx3,T1,T2,T3
U6 snRNA-001973,Control,13.7904,11.7446,11.9293,13.1954,12.9566,12.6417
ath-miR159a-000338,Target,35,35,35,35,35,35
hsa-let-7a-000377,Target,20.4943,21.0031,21.0073,20.382,19.5925,20.9335
hsa-let-7b-002619,Target,18.3545,19.0325,19.1368,18.2551,17.45,18.9675
hsa-let-7c-000379,Target,22.1791,23.6921,23.7763,22.9127,21.9639,23.9877
hsa-let-7d-002283,Target,22.1898,22.6786,21.866,21.9711,21.2081,21.941
hsa-let-7e-002406,Target,17.9679,18.3915,18.4673,18.0119,17.2932,18.5586
hsa-let-7f-000382,Target,24.4193,25.1568,24.671,23.7532,22.9934,24.9355
hsa-let-7g-002282,Target,22.0807,22.1273,22.4988,22.29,21.9771,22.7854
hsa-miR-1-002222,Target,31.404,32.9261,32.459,32.9738,31.805,33.6066
hsa-miR-100-000437,Target,17.1842,16.3697,16.2578,16.9118,17.0097,15.9572
hsa-miR-101-002253,Target,28.7663,30.4604,30.606,28.968,29.3582,29.9875
hsa-miR-103-000439,Target,23.1102,25.3917,25.4559,23.268,23.0229,25.3552
hsa-miR-105-002167,Target,35,28.5032,28.6299,35,35,28.8142
hsa-miR-106a-002169,Target,21.2702,18.7816,18.8137,20.9608,21.8622,18.8862
hsa-miR-106b-000442,Target,23.9706,23.6148,23.7402,23.7851,24.9619,23.9942
hsa-miR-107-000443,Target,27.7651,29.3746,30.0322,27.8917,27.5118,29.6193
hsa-miR-10a-000387,Target,24.5566,23.1561,23.291,22.8905,23.7224,23.0163
hsa-miR-10b-002218,Target,35,21.9981,22.3621,35,35,22.5818
hsa-miR-122-002245,Target,35,28.006,28.7248,35,32.8802,30.0006
hsa-miR-125a-3p-002199,Target,28.7372,27.5036,27.7447,29.2196,28.5925,27.9771
hsa-miR-125a-5p-002198,Target,22.7898,20.6917,20.9437,22.9812,21.7788,20.8035
hsa-miR-125b-000449,Target,17.6425,16.9869,17.1002,17.9597,17.6723,17.0977
hsa-miR-126-002228,Target,22.6277,29.5535,29.501,22.9822,22.3351,29.959
hsa-miR-127-000452,Target,19.9732,24.6113,24.9417,19.8525,20.1019,24.5569
hsa-miR-127-5p-002229,Target,33.3482,35,35,32.5652,33.9369,33.9941
hsa-miR-128a-002216,Target,26.5876,27.9605,27.9686,26.8143,26.8259,28.5258
hsa-miR-129-000590,Target,35,27.8885,28.1913,35,35,35
hsa-miR-130a-000454,Target,24.346,26.5305,25.6948,23.5836,24.3766,25.5295
hsa-miR-130b-000456,Target,25.1588,24.6795,24.9755,24.976,25.6858,24.9714
hsa-miR-132-000457,Target,23.4751,23.8956,23.3317,22.7794,21.9804,23.6995
hsa-miR-133a-002246,Target,28.4458,28.7252,28.7927,28.9675,27.6741,28.9876
hsa-miR-133b-002247,Target,33.068,35,35,35,31.0703,35
hsa-miR-135a-000460,Target,34.4419,35,33.8547,31.9566,35,34.1264
hsa-miR-135b-002261,Target,29.6619,27.7447,27.8353,30.9417,34.2654,27.9096
hsa-miR-136-000592,Target,35,35,35,35,35,35
hsa-miR-138-002284,Target,21.8366,20.4911,20.5871,21.687,23.9798,20.5202
hsa-miR-139-3p-002313,Target,35,25.1274,26.8515,35,35,35
hsa-miR-139-5p-002289,Target,26.6244,24.8093,24.9557,26.5925,26.2034,25.1261
hsa-miR-140-3p-002234,Target,25.3564,26.9582,27.8588,26.9743,25.277,28.0004
hsa-miR-141-000463,Target,35,33.9162,32.2607,33.9649,35,33.1854
hsa-miR-142-3p-000464,Target,34.2525,31.7425,31.8339,34.99,35,30.9386
hsa-miR-142-5p-002248,Target,35,35,35,35,35,35
hsa-miR-143-002249,Target,20.7246,27.9749,28.3823,20.8908,20.9621,27.5705
hsa-miR-145-002278,Target,16.9516,25.2183,25.6571,17.3042,16.4377,24.4908
hsa-miR-146a-000468,Target,19.4856,22.9866,23.4381,19.995,20.0182,23.5143
hsa-miR-146b-001097,Target,24.2031,23.4344,23.747,24.6597,23.9163,23.9396
hsa-miR-146b-3p-002361,Target,30.4131,35,34.4064,32.5481,34.683,34.0334
hsa-miR-147-000469,Target,35,35,35,35,35,35
hsa-miR-147b-002262,Target,35,35,35,35,35,35
hsa-miR-148a-000470,Target,32.4332,35,34.0466,30.8037,30.991,31.3498
hsa-miR-148b-000471,Target,24.6915,26.9032,27.0361,24.6551,25.1731,27.7364
hsa-miR-149-002255,Target,21.9755,24.2152,24.7488,22.1605,22.5456,24.8533
hsa-miR-150-000473,Target,31.4298,29.6258,29.7975,30.9102,29.9528,30.9313
hsa-miR-152-000475,Target,21.9342,24.0647,23.8413,21.9646,21.4803,23.9721
hsa-miR-154-000477,Target,30.1533,35,35,29.3733,29.2842,35
hsa-miR-155-002623,Target,25.154,21.3509,21.5207,25.7469,25.6784,21.9915
hsa-miR-15a-000389,Target,26.008,35,35,26.0983,35,35
hsa-miR-15b-000390,Target,22.4101,20.6291,20.9112,22.5394,22.9567,20.9612
hsa-miR-16-000391,Target,20.7226,19.6295,19.4613,20.8608,20.6109,19.9609
hsa-miR-17-002308,Target,21.1581,18.7412,18.6103,20.849,21.9638,18.8357
hsa-miR-181a-000480,Target,22.1015,22.8594,23.0411,22.4029,21.2534,22.8578
hsa-miR-181c-000482,Target,26.8742,29.4528,28.9066,26.4327,25.514,28.9356
hsa-miR-182-002334,Target,33.3667,29.9529,30.6525,35,31.4762,30.5409
hsa-miR-183-002269,Target,35,30.3448,31.4471,35,31.9492,31.045
hsa-miR-184-000485,Target,28.2493,28.5308,28.3554,27.9663,25.1445,28.981
hsa-miR-185-002271,Target,26.5009,27.053,27.4944,26.6768,26.3695,27.9158
hsa-miR-186-002285,Target,25.8768,25.976,24.4452,24.0049,23.3129,24.6534
hsa-miR-188-3p-002106,Target,35,35,35,35,35,35
hsa-miR-18a-002422,Target,26.5524,26.3201,26.5694,26.8782,29.4289,26.9458
hsa-miR-18b-002217,Target,25.4738,26.4849,26.3807,26.1009,28.9312,26.9839
hsa-miR-190-000489,Target,32.4532,35,34.0166,30.2725,33.0205,32.8387
hsa-miR-191-002299,Target,19.9242,17.5623,17.7249,19.9875,18.9561,17.7972
hsa-miR-192-000491,Target,28.248,26.8564,26.677,26.994,27.3161,26.9622
hsa-miR-193a-3p-002250,Target,32.3034,34.3268,33.8948,32.9979,35,34.7399
hsa-miR-193a-5p-002281,Target,22.5706,24.132,24.3461,22.9652,22.4883,23.9668
hsa-miR-193b-002367,Target,19.1962,20.3502,20.9343,19.4715,19.423,20.6151
hsa-miR-194-000493,Target,27.9272,26.933,26.8486,27.8855,27.592,26.9742
hsa-miR-195-000494,Target,25.5076,23.8031,23.2367,24.4744,24.2761,23.3285
hsa-miR-196b-002215,Target,33.3419,31.2497,31.9432,33.0188,29.6818,32.2277
hsa-miR-197-000497,Target,21.9066,22.0293,21.8845,22.0374,21.744,21.7852
hsa-miR-198-002273,Target,31.8007,35,35,31.9502,30.5995,35
hsa-miR-199a-000498,Target,27.9243,35,35,27.8526,28.4539,35
hsa-miR-199a-3p-002304,Target,19.6249,31.0915,31.541,19.9771,19.9733,30.988
hsa-miR-199b-000500,Target,31.0619,32.8575,35,29.7287,30.0682,35
hsa-miR-19a-000395,Target,23.6334,23.7632,23.6863,23.858,25.2708,23.9876
hsa-miR-19b-000396,Target,19.0076,17.5359,17.5505,19.0042,20.4634,17.9763
hsa-miR-200a-000502,Target,35,35,35,35,35,35
hsa-miR-200b-002251,Target,28.7751,27.7942,27.1686,29.0413,27.6054,28.1096
hsa-miR-200c-002300,Target,26.2356,23.562,23.9736,26.6287,25.105,24.3665
hsa-miR-202-002363,Target,35,35,35,35,32.1273,35
hsa-miR-203-000507,Target,31.2377,32.9048,32.5609,31.0055,29.8854,34.5148
hsa-miR-204-000508,Target,27.3882,24.0055,23.8882,26.6292,26.7648,23.9772
hsa-miR-205-000509,Target,35,35,35,35,35,35
hsa-miR-208-000511,Target,35,35,35,35,35,35
hsa-miR-208b-002290,Target,35,35,35,31.9085,35,35
hsa-miR-20a-000580,Target,22.1805,19.4316,19.6637,21.9129,22.9693,19.802
hsa-miR-20b-001014,Target,25.2151,23.4477,22.9479,24.9538,26.0627,23.3696
hsa-miR-21-000397,Target,18.0571,18.3377,18.3112,18.159,18.3263,18.8088
hsa-miR-210-000512,Target,23.8198,20.2532,20.3354,23.9207,22.4914,19.9258
hsa-miR-211-000514,Target,35,35,35,35,35,35
hsa-miR-212-000515,Target,26.8497,27.3987,26.7051,26.398,25.8183,27.3583
hsa-miR-214-002306,Target,20.6487,35,35,20.9756,20.964,35
hsa-miR-215-000518,Target,35,26.5035,25.7416,35,32.1309,27.1357
hsa-miR-216a-002220,Target,35,35,35,34.9888,34.6167,35
hsa-miR-216b-002326,Target,35,35,33.2156,35,35,35
hsa-miR-217-002337,Target,34.0636,35,35,33.106,31.421,35
hsa-miR-218-000521,Target,23.5808,23.7079,23.7137,23.7236,23.962,23.9337
hsa-miR-219-000522,Target,35,35,35,35,35,35
hsa-miR-219-1-3p-002095,Target,33.6151,32.9308,31.6743,34.2894,33.2488,35
hsa-miR-219-2-3p-002390,Target,17.8506,35,35,35,17.7385,35
hsa-miR-22-000398,Target,21.4288,22.524,22.8326,21.9618,21.6114,22.8458
hsa-miR-220-000523,Target,35,35,35,35,35,35
hsa-miR-220b-002206,Target,35,35,35,35,35,35
hsa-miR-220c-002211,Target,35,35,35,35,35,35
hsa-miR-221-000524,Target,19.421,19.6267,19.927,19.5761,19.979,19.9787
hsa-miR-222-002276,Target,17.5288,16.1093,15.9082,16.953,16.7735,15.867
hsa-miR-223-002295,Target,28.8242,28.5622,28.2932,28.9625,27.9632,28.9878
hsa-miR-224-002099,Target,24.5662,26.8962,28.0007,25.0058,25.2553,27.2486
hsa-miR-23a-000399,Target,21.4353,22.0929,22.9494,21.7975,20.3423,22.4902
hsa-miR-23b-000400,Target,35,35,35,35,22.4866,35
hsa-miR-24-000402,Target,14.9831,18.0162,17.812,14.8196,14.8002,17.778
hsa-miR-25-000403,Target,26.0739,23.5346,23.5538,25.4411,25.1703,23.6368
hsa-miR-26a-000405,Target,21.0767,20.9282,20.5845,20.9373,20.4515,20.6825
hsa-miR-26b-000407,Target,25.5506,26.0147,24.3265,23.2096,22.9306,24.5727
hsa-miR-27a-000408,Target,20.7635,22.872,22.9721,20.8403,21.5161,22.9912
hsa-miR-27b-000409,Target,22.6878,24.9834,24.8416,22.9735,22.4523,24.9563
hsa-miR-28-000411,Target,23.9489,24.4875,24.6667,23.9687,24.1315,24.6628
hsa-miR-28-3p-002446,Target,23.9362,22.9374,22.9482,23.6522,23.5132,22.9681
hsa-miR-296-000527,Target,25.5044,22.8119,22.2162,24.9628,25.0241,22.3322
hsa-miR-296-3p-002101,Target,32.2047,29.9479,30.0615,32.1306,33.155,30.8769
hsa-miR-298-002190,Target,35,35,35,35,35,35
hsa-miR-299-3p-001015,Target,35,35,35,34.3323,35,35
hsa-miR-299-5p-000600,Target,27.8302,33.7243,33.6117,27.6923,28.6185,31.9224
hsa-miR-29a-002112,Target,17.7958,15.4736,15.6943,17.9283,18.0485,15.948
hsa-miR-29b-000413,Target,27.2496,27.3365,27.6278,27.2321,29.2435,27.1071
hsa-miR-29c-000587,Target,28.4821,25.7545,22.9819,24.6941,24.9893,22.9777
hsa-miR-301-000528,Target,25.9018,29.8194,30.1763,26.1037,27.6661,29.93
hsa-miR-301b-002392,Target,31.3422,34.0557,34.038,31.0681,32.8704,33.5896
hsa-miR-302a-000529,Target,26.6572,31.0638,30.8412,26.5396,27.738,33.9067
hsa-miR-302b-000531,Target,26.4499,35,32.4555,24.241,25.2628,35
hsa-miR-302c-000533,Target,20.1447,18.5799,17.5011,20.2077,19.7817,16.9182
hsa-miR-30b-000602,Target,19.9296,19.7922,19.9787,19.9608,19.5113,19.8087
hsa-miR-30c-000419,Target,19.2986,19.4686,19.7008,19.5294,18.9472,19.9385
hsa-miR-31-002279,Target,17.9613,35,35,17.9723,18.8527,35
hsa-miR-32-002109,Target,32.4208,32.0226,33.0692,33.1333,34.9956,33.9422
hsa-miR-320-002277,Target,21.0287,20.6356,20.8985,20.9633,20.9126,20.9899
hsa-miR-323-3p-002227,Target,24.5409,30.6626,29.7233,24.9984,25.3949,29.9868
hsa-miR-324-3p-002161,Target,24.4317,24.9949,25.3375,24.6326,24.2369,25.5351
hsa-miR-324-5p-000539,Target,25.8336,27.7429,27.8316,25.695,27.2195,27.9357
hsa-miR-325-000540,Target,35,35,35,35,35,35
hsa-miR-326-000542,Target,35,35,35,35,35,35
hsa-miR-328-000543,Target,23.6173,25.4687,25.3092,23.3604,23.4081,24.9623
hsa-miR-329-001101,Target,29.4521,31.5488,32.6921,28.9118,28.8116,33.2758
hsa-miR-330-000544,Target,26.6665,29.0762,29.7747,26.5451,26.2791,28.9413
hsa-miR-330-5p-002230,Target,35,35,35,35,35,35
hsa-miR-331-000545,Target,20.2197,23.3293,23.534,20.3942,20.4482,23.9793
hsa-miR-331-5p-002233,Target,31.9606,31.0031,32.9503,31.7499,31.8273,32.9192
hsa-miR-335-000546,Target,24.2454,24.4315,24.5747,24.0315,24.3894,24.9792
hsa-miR-337-5p-002156,Target,26.2795,32.8238,32.9907,26.698,28.0132,31.5905
hsa-miR-338-3p-002252,Target,35,32.6933,35,35,35,35
hsa-miR-339-3p-002184,Target,25.3425,24.8721,24.9713,25.6065,25.1987,24.9558
hsa-miR-339-5p-002257,Target,23.2688,23.7366,23.7587,23.1596,23.2799,23.7883
hsa-miR-33b-002085,Target,35,35,35,35,35,35
hsa-miR-340-002258,Target,28.7923,34.8158,34.9261,28.9812,29.3378,35
hsa-miR-342-3p-002260,Target,22.6795,24.0445,24.8301,23.525,22.3214,24.9369
hsa-miR-342-5p-002147,Target,35,35,35,35,35,35
hsa-miR-345-002186,Target,24.4339,23.4562,23.7269,24.6602,24.7532,23.6684
hsa-miR-346-000553,Target,35,35,35,35,35,35
hsa-miR-34a-000426,Target,22.224,21.5043,21.6116,22.4376,22.9875,21.9742
hsa-miR-34c-000428,Target,27.8802,29.7562,28.905,27.8979,28.9742,31.3524
hsa-miR-361-000554,Target,26.7496,26.8064,26.8332,26.467,25.7003,26.5823
hsa-miR-362-001273,Target,26.6813,26.645,26.6676,26.9576,27.3982,27.0007
hsa-miR-362-3p-002117,Target,29.7233,30.3441,30.5111,29.8498,31.8152,30.9623
